1|400.0|2023-02-09|False
1|400.0|2023-03-09|False
1|400.0|2023-04-09|False
1|400.0|2023-05-09|False
1|400.0|2023-06-09|False
2|500.0|2023-02-17|False
2|500.0|2023-03-17|False
2|500.0|2023-04-17|False
2|500.0|2023-05-17|False
2|500.0|2023-06-17|False
2|500.0|2023-07-17|False
3|500.0|2023-02-27|False
3|500.0|2023-03-27|False
3|500.0|2023-04-27|False
3|500.0|2023-05-27|False
3|500.0|2023-06-27|False
3|500.0|2023-07-27|False
3|500.0|2023-08-27|False
3|500.0|2023-09-27|False
4|400.0|2023-03-09|False
4|400.0|2023-04-09|False
4|400.0|2023-05-09|False
4|400.0|2023-06-09|False
4|400.0|2023-07-09|False
4|400.0|2023-08-09|False
4|400.0|2023-09-09|False
4|400.0|2023-10-09|False
4|400.0|2023-11-09|False
4|400.0|2023-12-09|False
5|200.0|2023-02-07|False
5|200.0|2023-03-07|False
5|200.0|2023-04-07|False
5|200.0|2023-05-07|False
5|200.0|2023-06-07|False
5|200.0|2023-07-07|False
5|200.0|2023-08-07|False
5|200.0|2023-09-07|False
5|200.0|2023-10-07|False
5|200.0|2023-11-07|False
5|200.0|2023-12-07|False
5|200.0|2024-01-07|False
5|200.0|2024-02-07|False
5|200.0|2024-03-07|False
5|200.0|2024-04-07|False
6|41.67|2023-02-12|False
6|41.67|2023-03-12|False
6|41.67|2023-04-12|False
6|41.67|2023-05-12|False
6|41.67|2023-06-12|False
6|41.67|2023-07-12|False
6|41.67|2023-08-12|False
6|41.67|2023-09-12|False
6|41.67|2023-10-12|False
6|41.67|2023-11-12|False
6|41.67|2023-12-12|False
6|41.67|2024-01-12|False
7|500.0|2023-03-01|False
7|500.0|2023-04-01|False
7|500.0|2023-05-01|False
7|500.0|2023-06-01|False
7|500.0|2023-07-01|False
7|500.0|2023-08-01|False
